#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.0%	1	17684.416038345167	298.8389202063409	0
0.0%	2	17589.697288345167	300.5455356372099	1.34
0.1%	3	17992.025413345167	299.0746609280337	1.57
0.1%	4	17743.251975845167	298.58485640166657	1.54
0.1%	5	17821.564475845167	299.2397874838997	1.62
0.1%	6	17773.244163345167	298.52167870003603	1.67
0.1%	7	17498.572288345167	299.7150968843465	1.64
0.2%	8	17766.533225845167	299.2125140962339	1.68
0.2%	9	17598.056663345167	298.5524873194035	1.65
0.2%	10	17665.556663345167	299.63122462334866	1.67
0.2%	11	17657.353538345167	298.68318964531665	1.69
0.2%	12	17233.369163345167	300.1693971020759	1.68
0.3%	13	17472.806663345167	300.62419649484264	1.69
0.3%	14	17318.642600845167	300.051075815093	1.71
0.3%	15	17550.119163345167	300.5188676763315	1.69
0.3%	16	17855.494163345167	298.5522106614287	1.71
0.3%	17	17524.603538345167	298.8599420200105	1.69
0.4%	18	17676.275413345167	299.1300049170799	1.7
0.4%	19	17221.775413345167	299.15994628391314	1.71
0.4%	20	17260.908225845167	301.4307953130523	1.7
0.4%	21	17761.205100845167	298.8338880181674	1.71
0.4%	22	17634.111350845167	298.5246840958806	1.7
0.5%	23	18053.103538345167	297.79920802917127	1.71
0.5%	24	17656.416038345167	297.0299268211438	1.72
0.5%	25	17458.400413345167	299.8025631659259	1.71
0.5%	26	17851.439475845167	298.14161011525994	1.71
0.5%	27	17532.009788345167	298.32562299923177	1.71
0.6%	28	17826.986350845167	298.645137064485	1.71
0.6%	29	17604.541038345167	297.5500136334483	1.72
0.6%	30	17261.330100845167	299.9789440883317	1.71
0.6%	31	17657.994163345167	299.2598856918686	1.72
0.6%	32	17359.806663345167	298.8324717757992	1.71
0.7%	33	17570.939475845167	299.68554241859636	1.72
0.7%	34	17402.947288345167	298.3260977748702	1.72
0.7%	35	17070.408225845167	300.48539146280064	1.72
0.7%	36	17485.900413345167	299.3523301239696	1.72
0.7%	37	17195.681663345167	299.19567408389054	1.71
0.8%	38	17529.962913345167	299.6397669242984	1.7
0.8%	39	17430.728538345167	298.3768367034886	1.7
0.8%	40	17027.306663345167	300.5289579475869	1.7
0.8%	41	17291.775413345167	300.24388280594934	1.7
0.8%	42	17011.298850845167	300.15218004820815	1.7
0.9%	43	17287.947288345167	300.6586675640371	1.7
0.9%	44	17381.626975845167	298.73584674880135	1.71
0.9%	45	17089.783225845167	299.8510158803806	1.7
0.9%	46	17265.931663345167	299.7063539455351	1.71
0.9%	47	16956.056663345167	299.94917759861204	1.7
1.0%	48	17181.533225845167	300.79487093233104	1.71
1.0%	49	17334.689475845167	298.995348921124	1.71
1.0%	50	17346.603538345167	299.35116814326517	1.71
1.0%	51	17635.205100845167	298.25766513173943	1.71
1.0%	52	17577.908225845167	297.72794089627575	1.7
1.1%	53	17565.486350845167	297.9112735931808	1.71
1.1%	54	17336.275413345167	298.1761756544901	1.71
1.1%	55	17040.189475845167	299.6352160840056	1.71
1.1%	56	17147.025413345167	299.9292610041506	1.71
1.1%	57	17300.197288345167	299.14752350651975	1.71
1.2%	58	17544.072288345167	298.74194312750024	1.71
1.2%	59	17793.744163345167	297.59012285041285	1.71
1.2%	60	17632.212913345167	297.2562998766451	1.71
1.2%	61	17442.673850845167	298.46990777696743	1.71
1.2%	62	17307.494163345167	299.38766138719024	1.71
1.3%	63	17204.322288345167	299.87801944436325	1.71
1.3%	64	17409.619163345167	299.6225466090587	1.71
1.3%	65	17400.173850845167	298.63321170829494	1.71
